UF;Município;Faixa etária;Gênero;Grau de instrução;Comparecimento;% comparecimento;Abstenção;Eleitorado apto;Data de carga
AM;ALVARÃES;55 a 59 anos                  ;MASCULINO;ANALFABETO;39;0,6094;25;64;2025-04-29 22:31:40
AM;ALVARÃES;55 a 59 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;5;0,7143;2;7;2025-04-29 22:31:40
AM;ALVARÃES;55 a 59 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;72;0,9114;7;79;2025-04-29 22:31:40
AM;ALVARÃES;55 a 59 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;8;0,8;2;10;2025-04-29 22:31:40
AM;ALVARÃES;55 a 59 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;4;0,6667;2;6;2025-04-29 22:31:40
AM;ALVARÃES;55 a 59 anos                  ;MASCULINO;LÊ E ESCREVE;70;0,8861;9;79;2025-04-29 22:31:40
AM;ALVARÃES;55 a 59 anos                  ;MASCULINO;SUPERIOR COMPLETO;15;0,9375;1;16;2025-04-29 22:31:40
AM;ALVARÃES;55 a 59 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;3;0,75;1;4;2025-04-29 22:31:40
AM;ALVARÃES;60 a 64 anos                  ;FEMININO;ANALFABETO;38;0,6667;19;57;2025-04-29 22:31:40
AM;ALVARÃES;60 a 64 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;6;0,8571;1;7;2025-04-29 22:31:40
AM;ALVARÃES;60 a 64 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;29;0,8286;6;35;2025-04-29 22:31:40
AM;ALVARÃES;60 a 64 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;4;0,5714;3;7;2025-04-29 22:31:40
AM;ALVARÃES;60 a 64 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;3;0,6;2;5;2025-04-29 22:31:40
AM;ALVARÃES;60 a 64 anos                  ;FEMININO;LÊ E ESCREVE;46;0,7419;16;62;2025-04-29 22:31:40
AM;ALVARÃES;60 a 64 anos                  ;FEMININO;SUPERIOR COMPLETO;11;0,7857;3;14;2025-04-29 22:31:40
AM;ALVARÃES;60 a 64 anos                  ;MASCULINO;ANALFABETO;38;0,623;23;61;2025-04-29 22:31:40
